Date,Aevo,ApeX,Avantis,Bluefin,Drift Protocol,dYdX v3,dYdX v4,Gains Network,GMX,Holdstation,Hyperliquid,Jupiter,KTX Finance,Level Finance,Mux Protocol,Perpetual Protocol,RabbitX,Synthetix,Vertex Protocol
18-Apr-24,108651208.7,211799457.9,6213535.262,142236756.6,283650525.9,1593452300,1171301516,22281980.65,125196692.9,98178390.61,1505402399,477455487,123242088.1,560453.8913,44353451.18,3752584.379,1775027574,34604638.49,301874985.5
19-Apr-24,149899929.9,268643196.3,7152728.745,192009163.4,205470857.1,2213566906,1403993833,22891752.21,297384937.6,90918885.86,1842479035,818432824.7,123494370.7,1414258.21,48825402.48,5773106.123,1085463212,69992524.29,424445576.1
20-Apr-24,122510221.5,177271395.3,4780260.178,121147399.2,77677644.96,1078990615,812945470.1,10330054.56,176809270.8,83226937.26,959933413.9,473594963.3,111747951.5,1558678.477,32161409.66,2283368.569,672140653.5,31741992.82,239712444.5
21-Apr-24,132649129.9,174267953.8,3734052.947,79815030.98,68873243.62,962134617.6,672201210.4,7211099.675,92046362.13,70956466.05,999157605.4,413054683.9,108891028.9,202731.206,16335097.84,2188861.368,685634210.2,34702632.17,286520992.5
22-Apr-24,145867059.2,200655625.6,4786997.601,211415555,77053928.73,1299056284,916381038.3,18374446.3,158833251.7,87749629.7,1393844531,503784140.8,124115873.9,214023.9723,65373992.83,2956566.115,237917631,25926093.85,302841575
23-Apr-24,143862322.3,190122980.4,6174570.112,93703712.51,71850430.66,1077810083,754762635.8,17526338.02,92031889.39,90076755.76,1237505914,521133643.7,112996451,603667.1763,33734761.46,1833730.736,202069277.6,21738184.57,239119038.4
24-Apr-24,115118733.2,219034249.4,8408278.212,196843360.5,106813442.8,1545265536,1071912825,49595040.72,178059825.3,87373337.79,1359688550,820578519.5,113622973.7,416030.1281,67019248.09,2995788.958,506113083.6,56351298.16,354833640.2
25-Apr-24,101433826.7,210072745.9,7492440.46,147096730.7,92555643.54,1482902227,1065894498,18606416.51,191214446.9,82312560.4,1073965643,357537231.8,67266898.06,824302.7328,27469479.01,3042784.635,508534641.7,45242573.53,318007237
26-Apr-24,103768746.3,202051639.6,6542273.726,167296785.6,60799274.64,1019994587,751294762.1,33533731.67,166387509.1,76987723.82,829207211.4,333769540.3,101131181.6,558077.5598,40244470.08,2367133.387,384902764.8,24154559.34,242115736
27-Apr-24,99323817.22,178793486.8,6420333.471,148818986.9,82267086.16,1082500041,721853377.8,3562651.068,114171550.5,67095883.47,911912943.8,292022960.5,56288078.96,966712.7895,48389787.44,2501085.361,397741222.5,38074591.52,286318546.1
28-Apr-24,92710943.47,187214458.9,5874491.43,107187360.1,43945908.95,987599019.8,723026943.2,5873917.81,128391586.5,68570822.06,821614348.8,317232838.4,80730663.52,17575.28156,34230791.9,2171138.129,458817379.5,44187761.59,320489422.6
29-Apr-24,128389220.4,213116834.8,9542622.347,170010547.3,84524571.62,1214093602,863330976.4,33041044.99,189177597.4,59027922.22,1171081421,407482858,84070866.82,364196.3433,48531441.83,2721691.873,551412060.9,37691997.8,343850533.5
30-Apr-24,93452150.42,247494963.6,9554876.883,228490954.1,201876614.2,1808056486,1320247758,14448694.18,514538069.2,72426764.25,1806390541,624464268.5,86499771.16,307107.5251,66635637.06,3966206.785,595319367.3,61836282.52,431798756.8
1-May-24,124223001.1,291380257.3,6915651.9,181447061.6,251953471.2,2222479466,1634065693,23554489.33,415760867.9,69024789.64,1562542904,753613991.2,89183900.05,1072778.975,82632506.29,7655037.567,754574964.6,46213226.27,479874218.4
2-May-24,77938202.58,194932953.9,5983466.147,102547017.4,125490119.3,1329560548,986244769.3,32542048.4,219901143.8,74594437.76,779690924.4,387136952.2,87229781.56,1113455.731,9410623.563,3422241.563,387212978,38768439.13,290224915.2
3-May-24,88560646.4,206096119.1,5785002.888,105155057.5,114591378.4,1568531346,1196248028,17637618.23,227219641.4,91850803.17,810883998.7,412889605.1,113204676.1,961314.3568,21927023.86,3174831.949,422346166.1,24948127.15,221668589.5
4-May-24,58544377.87,187786308,3179045.186,101700598.2,65246866.98,1128918195,801829686.8,4968359.236,144401035.6,79580100.68,493504035.3,389562639.6,54718968.49,208036.5131,8445335.86,2488986.175,235519579.8,58241303.73,163463910.7
5-May-24,65025389.78,180333227,5113192.742,72580750.28,60110878.63,1004543427,787749949,7742804.456,107480738.9,71064933.53,477530165,434501927.7,84689706.97,441793.4007,8410120.245,1807935.889,213291569.5,33126755.54,147550194.1
6-May-24,119392616.2,206390183.2,14519918.48,126176480.2,119707107.4,1651759616,1184703009,8851586.431,189264913.9,105347504.4,827559945.6,442379955.1,82635414.76,681385.671,18465749.15,2398857.402,523418738.4,48442135.64,208786360.4
7-May-24,106116064.8,194115642.7,3893518.975,95194372.59,115091846.2,1557261750,1071349077,20065766.78,124471996.4,83792115.02,827783685.5,450481045.3,85393397.42,343917.6078,11087734.62,2063520.171,398740544.6,28951165.59,217231719.9
8-May-24,56550272.12,199952978.1,3177521.862,123405079.2,87553989.21,1372327369,1040635432,12074351.05,159343519.7,80093115.56,892663821,721855064.3,84330847.52,11801147.47,34926420.97,2771004.577,297667790.5,35688516.62,241758791.1
9-May-24,42887470.45,188067401.6,4074030.434,109858179.8,78185689.46,1189924397,867096427.2,25362336.52,134298481,68771567.53,679332408.1,424520559.1,83659485.02,133076.3656,16717330.63,1738545.233,347343722.9,19542120.78,211498559.8
10-May-24,65847872.07,193445699.2,3148855.541,118400408.2,82487911.19,1359377620,960394077.6,8343739.607,210785364.4,87481027.89,807060703.7,355886166.3,74497519.11,20401.7373,4326787.416,2088419.479,443114237.8,28128257.92,281455487.4
11-May-24,40656648.2,155555199.8,2490975.065,83694748.59,28808076.35,575597619.1,476900807.6,3872045.204,53836019.42,73124255.92,308265299.7,125792809,85730773.03,56711.61397,2232918.984,964672.5907,179475563.3,13767094.29,133007967.5
12-May-24,43992797.1,143278777.1,1183535.463,70133888.31,19234542.33,564958020.7,422286802.3,5548340.733,39449873.87,64546683.62,274770431.1,107922599,78802498.17,9830.141123,3214976.561,684332.4203,258494277.3,58182472.36,120989278.1
13-May-24,84740757.05,189528150.4,4852081.986,152354404.1,87826870.62,1564650593,1264767380,21305401.17,353139679.5,71795912.4,888557904.6,297841607.4,87855494.6,81648.30115,3704083.722,2402102.027,390833478.6,27922741.56,254249890.9
14-May-24,95631775.74,197889149.2,4179725.602,124774580.4,69617330.65,1523183143,1159781495,9965515.363,181761248.3,66725808.93,774923029.7,230062940.9,78060071.43,341673.9116,14679940.79,2322831.452,374647587.3,26070591.38,243039628.1
15-May-24,66548108.06,259554225,5927990.49,163343795,94633207.01,1724341497,1307694918,32741830.5,229552077.6,70169154,914482493.9,493860929.2,69365775.17,134523.0321,22768124.35,3224708.215,435603498.4,129493365.9,317015859.1
16-May-24,38928904.76,200533580.6,4041590.811,108768061.7,64438860.81,1279706783,980435931.8,8774186.043,177496972.1,72963232.88,760527575.1,318068046.8,71306989.6,335222.8118,7939757.953,2474467.667,371514704.6,91955551.89,255161350.5
17-May-24,37429960.07,194986210.3,2868709.345,107540939,75459152.75,1379054879,1146542282,,262851587.9,75910748.51,756952480.7,486161516.9,90080485.37,416830.4337,11698936.79,2250560.999,368985864.2,136675213.1,227411721
18-May-24,34663814.43,174373694.7,2324234.613,79561039.07,47212129.1,803436770.5,672306509,,184567177.2,69279484.96,418702470.9,242338584.5,92950501.32,1824.515062,4302771.074,1220812.113,238710711,99651507.58,162251160.5
19-May-24,30723658.17,182608459.8,1222623.482,91353672.69,68771116.74,1001176981,775197342.5,,185681092.3,71658234.51,556804308.6,234238180.5,105308313.8,133796.2412,12658704.47,1372605.995,350632533,107935040.1,164097595.1
20-May-24,92269643.74,290156653.3,6840037.378,190878104.2,173156502.9,2467542425,1826352933,,291432481.7,78901471.84,1559656764,564468133,83689302.1,92640.73776,50576693.59,5095423.094,704582002.6,321425332.8,371893595.5
21-May-24,77970038.59,258536121.5,3734779.111,217369729.6,129528544.7,2361398372,1849152225,,416751110.3,74537055.99,1188393199,758921721.4,78971724.66,365325.7811,63664340.79,2908233.382,592175172.2,598031813.1,446708605.4
22-May-24,42387221.44,234285531.4,4163288.787,208465917,109901827.7,1729669265,1419376815,,379171993,105163240.7,1153848085,801243305.9,43233594.33,22870468.05,62902459.22,2580414.638,505997470.1,215259922.4,271081168.1
23-May-24,133225335,335631269.8,8109496.146,235334548.7,169737179.4,2207437857,1514069955,,542249915.9,97416565.23,2010732638,614466021.2,75330608.86,182816.0767,126963583,5992238.022,808270184.1,378868035.1,408050330.7
24-May-24,62763084.84,212686070.4,3603496.179,130825868.5,84963966.76,1245052380,930992206,,139859823.4,106653565.2,915646407.3,443620395.4,85291544.35,112254.6921,9942684.572,1920381.542,402669214.6,113012982.1,210370645.8
25-May-24,19243275.02,176056672.9,2846022.434,84395618.26,43055822.3,505761072.7,376669180.6,,60392510.13,96497169.97,388397278,180915783.5,48340929.79,151837.3051,4563420.12,739681.3798,249846344.3,32860439.9,105838267.8
26-May-24,22793280.15,172718835.1,2552337.858,129772781.8,47163059.95,709847350.5,423148107,,110769452.4,95884971.04,536019684.8,237276835.2,81849865.68,26684.06175,6744967.428,1419594.632,393009977.7,59725145.6,134681441.3
27-May-24,36451576.29,191957105.1,35042853.62,145053996,66947662.19,1043828398,707993458,,171652750.5,102934166.4,784427402,274517640.8,71911168.7,38994.97176,19162589.38,1620684.148,496321760.3,84896847.79,211775879
28-May-24,70286380.52,207912502,4286976.987,167026440.5,91216202.56,1179657244,864730251.8,,318182538.2,105267648,1063856066,294626696.6,79131887.54,115591.305,17833429.6,1907873.915,444539626.7,70213528.84,252882740.1
29-May-24,48575043.59,191178134.7,6543949.442,180044348.5,91811624.91,983389843,800372565.5,,161332021.7,92261025.35,879243779.3,234676584.4,90022100.64,21115.83918,5960632.63,1729666.02,378134893.5,38336601.95,242400488.3
30-May-24,60259928.33,194246909.5,5215305.646,152487797.9,64109518.71,953733549.6,714970337,,338941939.4,102133207.2,975848410.4,263104863.1,72148233.36,10201.25765,15057099.89,2038595.023,415561855.8,44072115.68,274857687.9
31-May-24,61555989.27,188272023.7,16301371.06,141158444.9,54954218.82,951722221,650790991.3,,199890931.4,102596358.7,917555214.5,270061090.4,100986243,4694.587789,13414543.79,1875803.436,261212830.5,53209013.35,267852405.1
1-Jun-24,39915391.27,156667233.4,1566868.617,78181550.03,22015826.02,322902034.8,231819146.1,,56270718.73,93691013.29,379114903.1,106611015.3,34850184.54,21971.91048,4583530.545,625067.1586,150454139.6,25793294.56,105258315
2-Jun-24,51597429.19,163232454.8,2291648.676,102142343.7,28958017.78,444700090.3,352874235.3,,60174220.13,94188870.76,529730345,195880720.5,66077887.7,20801.53518,3361872.546,1339782.088,266556417.2,31255241.65,135166098.5
3-Jun-24,59852407.27,201370618.4,9578148.436,122117127.9,73241548.25,865226071.5,677254483.2,,314817644.4,97335672.09,966511223.5,271744305.7,43995225.84,66728.21953,15901066.63,1384592.506,281608474.8,47870148.83,264982128.2
4-Jun-24,53633620.89,204144722.3,4731882.697,150634091.2,54518610.14,854545081.7,655816010.7,,221406300.6,86040944.58,865570111.2,270454011.9,23463840.23,7350.938377,28275822.23,987580.2119,397898408.6,50905790.28,277970202.2
5-Jun-24,53095093.24,210552217.4,6844380.632,177240595.3,55771212.5,934633812.7,683230672.5,,216740136.1,106862421.8,971251192,303350636.1,43841053.78,107930.1417,22966989.35,1035329.75,248406788,37276407.52,309590419.4
6-Jun-24,42543218.77,196498291.3,13313244.01,99992051.44,55905414.06,744867862.8,490494998.9,,176592280.6,118193379.6,709608664.9,275255903.1,43123781.35,2460.058365,6414586.938,953919.0347,234220513.1,40926120.99,264063045.1
7-Jun-24,83310668.74,210998235.6,4117166.016,128643189.1,103739333.3,1220201672,821619621.2,,276455660.2,120089697.1,1380410061,440403199.3,34401082.6,12177709.7,19252225.51,2392509.018,286605900.4,81824318.34,376686049.1
8-Jun-24,39723416.91,133259461.9,3915943.607,77563134.69,42222671.91,422121504.6,313009827.1,,95938619.79,118397598.9,383364119.5,179874317,33493346.94,442423.9923,13254722.08,363741.2975,148675562.7,33643492.36,139743548.4
9-Jun-24,48642903.69,137615023.1,1227010.029,91828459.19,33862211.05,388489880.8,312771490.1,,49706981.74,116817008.8,327671990.1,150009335.7,83240417.31,34972.79618,9262350.649,345016.9429,73338859.3,30796918.46,128379288.8
10-Jun-24,41442262.77,166074280.8,5057408.351,115189618.7,51445809,632066842.9,494143996.1,,109757156.8,122740081.3,592210238.1,255112543.4,79934042.29,10832.85929,12214401.99,576810.2017,271060971,23966886.92,217095561
11-Jun-24,65352368.05,212794145.8,5684789.972,176515613.7,145047390.7,1807007857,1462903664,,302521915.2,117489487,1281500288,612764659.1,82595392.05,235642.806,13288574.53,2601062.829,241894451.3,56690773.39,414045352.6
12-Jun-24,61116556.23,226731731.2,10940830.12,180209722.8,147075654,1342618640,1005609144,,256422386.5,101163195.9,1384737038,538119250,60058519.07,65638.38791,22141619.83,2366287.479,293709166.2,97693166.06,430705774.6
13-Jun-24,47191162.62,195948312.7,7131662.491,148272222,109706097.9,1153756802,939012743.4,,252160252.3,98077984.84,1045766312,385004703.1,74796381.99,71984.82876,7060342.787,1730279.707,274930609.7,51134391.25,319099704.1
14-Jun-24,54300020.84,193543936.4,6564196.007,137525292.7,161493807.4,1411046456,1024753527,,216962602.9,94047568.09,1191566427,453709848.3,63331930.25,24580.02074,10580638.71,2125129.277,212989840.6,67964236.88,372741683.8
15-Jun-24,33434094.62,162525389.8,2690813.794,113471113.7,48759874.76,443601957,348848219.9,,123818743.7,101489668.8,487358638,205562300.1,61819463.32,119904.0672,4164401.506,848604.7087,144226999,42606924.04,257526155.1
16-Jun-24,32209496.15,168000468.2,4309929.698,104412205.6,61591609.15,488818890.8,370202040.3,,72216374.1,117338874.8,530330142.2,238245977.9,68499988.53,34899.9439,2655662.773,934752.6808,117380611.8,26064657.27,206952809.5
17-Jun-24,56301785.29,208524164.5,10316667.22,234273780.3,160512304.4,1039817926,831450450,,195450694.3,104538590.3,1718045856,545602731,59257296.8,157286.8801,4670786.26,2209751.229,230928997.1,86289108.58,449412951.3
18-Jun-24,79496801.26,252012206.4,11278917.43,169546332.3,294451657.7,1508554840,1156457489,,255211783,137260541.7,1705954897,611564797.4,69679842.48,57550.60626,10554233.64,2713074.052,284861820.3,106993035.9,624474366.5
19-Jun-24,43380815.36,220166441.9,10134080.33,165803387,144520304.2,810869119.2,650659172,,126998972.1,126800821.4,910678178.1,286935278.7,72172526.13,9902.535912,2620953.951,1412439.078,171344971.1,67112314.19,260474359.3
20-Jun-24,49062819.81,224609444.1,10163314.35,143990486.7,181805675.6,1060400271,800242590.9,,175889787.3,119142654,920310358.4,359247769.8,33029293.77,1329.022785,3921700.667,1371225.736,109549348.4,82326186.68,270460621.8
21-Jun-24,49894885.57,238970844.7,8506747.903,100710742.6,194567810.4,876677336.1,664064753.3,,295821048.9,125003939.5,954663757.2,392240235,43608355.28,27822.11998,4168057.983,1569583.028,32087810.5,120706367.2,299354941.1
22-Jun-24,24730364.57,172507870.7,4931992.76,83644697.03,51748635.55,281316703.3,198623635.3,,69374582.24,127294877.2,299441841.2,148186316.1,47872848.84,21437.09231,1446577.598,248861.6487,30420569.18,32331615.9,145985737.3
23-Jun-24,26280060.69,165567222.9,7480492.618,83976229.95,83644644.1,324123663.4,244210202.5,,159757142.1,108814050,537438673.5,175601834.8,48277496.74,,2005935.848,590020.4237,171489523.1,38320569.51,193144115.8
24-Jun-24,65367176.63,309840664.2,10241041.47,139261480.3,335066626.5,1634559637,1215425486,,424573289,127468229.9,1701335640,563813966.9,50453141.44,55455.02091,6651130.485,2710987.698,536031911.2,96422627.44,520617251.7
25-Jun-24,34923827.65,233389058.7,9778021.346,118771498.4,141983193.2,902424450.6,654716927.5,,140124537,131794037.5,746565538.6,361867153.5,48954377.96,67532.74871,4650057.468,1120031.143,402881941.3,42308879.05,253690246.4
26-Jun-24,43022978.92,201665046.9,7016938.704,78197653.84,102441984.6,776085139.3,552162849.2,,100723326.6,125906186.5,836208688.9,299697155.1,42863954.22,30550.32397,4549694.463,1044609.523,342392859.4,31113580.02,221030645.1
27-Jun-24,27752915.15,211052457,7351029.729,131657939.3,157763432.8,638247226.7,495474487.6,,113228665.8,117163028.2,728149743.7,339305555.7,48323470.39,7497.906581,3096048.06,1018876.9,310471310.9,43634588.85,212506898.8
28-Jun-24,30766843.68,218302463,5483298.843,133979262,157729444.5,904605510.5,626994272.1,,99041796.64,113704731.8,904164900.9,366221757.2,28853179.06,6382026.77,2492165.831,1233655.322,404289702.5,32886052.46,239032910.8
29-Jun-24,19373306.67,164831705.5,2948435.881,80807888.48,32869479.1,293919193.5,219785212.5,,50935515.92,118026122.3,288085033.6,123266549.3,48019892.3,27229.3965,700971.6203,348575.9018,189953516.5,17036297.95,137588026.4
30-Jun-24,24203592.57,208628929.8,3807611.007,106548393.2,69612364.26,513545995.9,371577769.5,,160189769,108625000.1,662010110.6,211701311.1,21274974.28,6833.664593,1942287.021,712031.7591,308719503.3,37177883.8,204405506.4
1-Jul-24,26109522.3,204081946.1,8599264.236,162117756.5,115179424.3,676134994.1,542007755.7,,192160331.2,165769379.8,803079366,271118028.4,49443069.54,63470.65611,3395343.755,1015187.027,363051067.1,46558373.67,305172335.8
2-Jul-24,39152458.99,209555468,8658342.302,140098468.4,107238942.5,618549367.9,538295832.2,,153641465.1,140077361,712106630.4,394150549.5,47582265.4,80515.95035,1019050.117,584308.8699,297345513.2,28276505.27,215821647.8
3-Jul-24,38219256.65,241436553.2,12502079.54,121825972.2,173817076.4,1165925590,888130174.1,,378980553.9,157488244.3,1186263459,613933099.6,49169750.06,56048.60529,39861191.84,1457651.568,496855484.8,61067257.6,299686370.5
4-Jul-24,56203179.43,282029533.3,10803666.4,140758097.6,249995111.9,1888205172,1567072043,,413367517.8,167935465.9,1641415260,665050373.9,48904368.67,15346426.54,8856405.256,2300699.799,559118975.7,56264239.56,428973134.1
5-Jul-24,95015091.7,411964749.2,13650204.58,179044120.1,196574332.3,2092910964,1551839720,,556469689.1,149982039.7,2150725816,680857522.4,47663361.63,90878.59414,19153064.7,2937533.827,592500374.4,92714492.01,492781107.5
6-Jul-24,22111199.96,214140783.4,8214594.253,118775140.2,54940297.88,641118287.4,501536137.2,,279338003.8,150117614.9,659063930.4,309585613.3,45482607.97,68406.47251,3206140.394,563371.8764,280928700.3,63381396.81,168334385
7-Jul-24,23668174.38,227008994.8,6608899.88,138594607.6,74596112.74,687883112.6,551317907.3,,170905189.9,115077980.1,629530384.4,354352548.5,47288235.46,983.7939758,5828257.203,793152.5124,359314238.5,43861504.03,173475066.9
8-Jul-24,56629653.56,342177565.7,13071202.72,215537932.9,286822730.6,1317122223,1035228311,,500065959.1,155570680.8,1488194427,591839927.3,49998534.31,15222.88256,12669634.01,2456851.074,462231173.6,99553701.79,405815803.7
9-Jul-24,31713461.81,246123929.8,10190481.42,158377020.6,109594769,775197163.8,621740792.8,,193513208.3,164667234.4,1079099383,343815287,43923848.05,3779.412298,12524322.81,1723364.644,352455964.6,108255463.3,263872891.2
10-Jul-24,28436801.02,241354957,7499371.93,136174117.4,93204908.9,838157017.6,649050850.7,,320622149.1,145767262.5,1189588847,322272330,46132181.95,369.8613893,50067411.12,1160462.367,374457606.3,103683983.8,301947342.5
11-Jul-24,28631283.55,256420344.9,13807904.71,121428543.6,77959704.26,897940961,710903877.5,,157535266.9,149763467.4,1022241209,464547678.6,48423085.25,169.8529131,27783834.41,1829375.984,387697173.9,94053078.7,334277267.7
12-Jul-24,21782985.58,220010651,11044047.65,121336246.1,47766967.51,751461067.8,589456599,,139720898.3,117752800.5,879286211.8,376443529,48245293.15,15967152.73,3302537.337,1309016.688,346756956.2,35580997.21,222505959.9
13-Jul-24,15845244.43,203849822.9,7441394.125,64195502.74,40246046.76,450214969,315200668.5,,99636000.92,124135523.2,509055115.4,180109653.9,43746312.96,9812.320763,9019472.748,738519.5685,289727488.6,35963306.75,115789360.7
14-Jul-24,18726278.41,233302743.4,11359115.62,101331920.9,54111206.58,672442336.2,492767357.4,,143936758.6,138686990,581928696.7,333666984.7,47788071.09,13668.49111,8008689.229,982151.6959,264503213.6,57422310.38,143805679.9
